Gener_No,BestFit,AvgFit,maxFitValue
49,1275.4777786415607,1454.5374431206108,1659.8211635143114
50,1275.4777786415607,1450.4593363951988,1659.8211635143114
51,1275.4777786415607,1445.7492698817687,1632.4893188577573
52,1275.4777786415607,1441.9926977897494,1601.2762406308584
53,1275.4777786415607,1437.7122152418247,1601.2762406308584
54,1275.4777786415607,1435.9009991440992,1601.2762406308584
55,1275.4777786415607,1433.443313247463,1601.2762406308584
56,1275.4777786415607,1431.4388958789243,1601.2762406308584
57,1275.4777786415607,1430.354377528708,1601.2762406308584
58,1275.4777786415607,1428.994252018944,1586.512621229985
59,1275.4777786415607,1426.9309322000488,1586.512621229985
60,1275.4777786415607,1426.2283993626106,1586.512621229985
61,1275.4777786415607,1422.6673276412653,1584.0205262437537
62,1275.4777786415607,1421.8565363708508,1584.0205262437537
63,1275.4777786415607,1420.2721229005076,1562.54538082702
64,1275.4777786415607,1416.6069996904353,1562.54538082702
65,1275.4777786415607,1414.6286155027078,1562.54538082702
66,1275.4777786415607,1413.8921213561434,1562.54538082702
67,1275.4777786415607,1413.570753227117,1562.54538082702
68,1275.4777786415607,1412.6334851739684,1562.54538082702
69,1275.4777786415607,1411.9737993233912,1562.54538082702
70,1223.8476112606506,1409.3849884637896,1562.54538082702
71,1223.8476112606506,1406.7057277312479,1562.54538082702
72,1223.8476112606506,1403.7334322851755,1562.54538082702
73,1223.8476112606506,1400.913466952319,1562.54538082702
74,1223.8476112606506,1399.7937905984313,1562.54538082702
75,1223.8476112606506,1395.7455671176483,1532.686761899459
76,1223.8476112606506,1391.1346437612506,1532.686761899459
77,1223.8476112606506,1390.6418000415267,1532.686761899459
78,1223.8476112606506,1386.840462466833,1532.686761899459
79,1223.8476112606506,1382.9062707807807,1532.686761899459
80,1223.8476112606506,1381.3694327082962,1532.686761899459
81,1223.8476112606506,1380.049873099649,1532.686761899459
82,1223.8476112606506,1374.7921477970774,1532.686761899459
83,1223.8476112606506,1374.715565743036,1532.686761899459
84,1223.8476112606506,1373.4912947701796,1532.686761899459
85,1223.8476112606506,1371.5455579782313,1514.5986069063258
86,1223.8476112606506,1369.9596526350424,1505.9140737925513
87,1223.8476112606506,1369.648597129029,1505.9140737925513
88,1195.9512571158375,1366.8897540190906,1505.9140737925513
89,1195.9512571158375,1365.752178080991,1505.9140737925513
90,1195.9512571158375,1364.0192447013542,1505.9140737925513
91,1195.9512571158375,1362.0036317018585,1505.9140737925513
92,1195.9512571158375,1361.7358641609562,1505.9140737925513
93,1195.9512571158375,1361.1100077575204,1505.9140737925513
94,1195.9512571158375,1360.6104070352806,1505.9140737925513
95,1195.9512571158375,1357.1514440093868,1501.8086972178246
96,1195.9512571158375,1355.9521066189568,1472.4982368116328
97,1195.9512571158375,1353.6692954523894,1472.4982368116328
98,1195.9512571158375,1350.7079111843843,1472.4982368116328
99,1195.9512571158375,1348.20527433011,1457.655238724827
100,1195.9512571158375,1348.2041276989635,1457.655238724827
101,1195.9512571158375,1346.1775523431947,1457.655238724827
102,1195.9512571158375,1345.799370632577,1457.655238724827
103,1195.9512571158375,1345.5886571004369,1457.655238724827
104,1195.9512571158375,1344.2604542242275,1457.655238724827
105,1180.9693300743581,1338.9345724056768,1453.3071278867474
106,1180.9693300743581,1338.21225559344,1453.3071278867474
107,1180.9693300743581,1333.9772189698178,1453.3071278867474
108,1180.9693300743581,1332.1402352654936,1453.3071278867474
109,1180.9693300743581,1330.787479325314,1453.3071278867474
110,1180.9693300743581,1329.4327077362543,1444.9575779079007
111,1180.9693300743581,1329.3507497975559,1444.9575779079007
112,1180.9693300743581,1328.580744918264,1444.9575779079007
113,1180.9693300743581,1327.7566709020177,1444.9575779079007
114,1180.9693300743581,1327.7566709020177,1444.9575779079007
115,1180.9693300743581,1327.1681160408123,1444.9575779079007
116,1180.9693300743581,1326.606887927938,1444.9575779079007
117,1180.9693300743581,1325.2455431476403,1444.9575779079007
118,1180.9693300743581,1325.0363129226132,1444.9575779079007
119,1180.9693300743581,1324.1405630971026,1444.9575779079007
120,1180.9693300743581,1323.2302123600043,1444.9575779079007
121,1180.9693300743581,1322.9493612256813,1444.9575779079007
122,1180.9693300743581,1322.3002750179958,1444.9575779079007
123,1180.9693300743581,1320.9197592769435,1444.9575779079007
124,1180.9693300743581,1320.648459647017,1444.9575779079007
125,1180.9693300743581,1320.648459647017,1444.9575779079007
126,1180.9693300743581,1319.665616152511,1444.9575779079007
127,1180.9693300743581,1316.0959995889923,1444.9575779079007
128,1180.9693300743581,1313.4352320656865,1444.9575779079007
129,1180.9693300743581,1310.883888800942,1444.9575779079007
130,1180.9693300743581,1310.5844263450847,1444.9575779079007
131,1131.242239601807,1307.804328723353,1444.9575779079007
132,1131.242239601807,1307.1513521869272,1444.9575779079007
133,1131.242239601807,1307.0771381021964,1444.9575779079007
134,1131.242239601807,1304.3173410703612,1444.9575779079007
135,1131.242239601807,1302.5324585294547,1444.9575779079007
136,1131.242239601807,1301.7904087274458,1444.9575779079007
137,1131.242239601807,1297.4926759530651,1444.9575779079007
138,1131.242239601807,1296.3702550187995,1444.9575779079007
139,1131.242239601807,1294.4856019121635,1444.9575779079007
140,1131.242239601807,1293.0352477853232,1444.9575779079007
141,1131.242239601807,1290.8208400557537,1444.9575779079007
142,1131.242239601807,1290.8208400557537,1444.9575779079007
143,1131.242239601807,1290.1635235512022,1406.6113318808175
144,1131.242239601807,1288.5763234114029,1406.6113318808175
145,1131.242239601807,1288.349515656973,1406.6113318808175
146,1131.242239601807,1288.349515656973,1406.6113318808175
147,1131.242239601807,1286.922148211818,1406.6113318808175
148,1131.242239601807,1285.3740892620349,1406.6113318808175
149,1131.242239601807,1284.43143067571,1406.6113318808175
150,1131.242239601807,1283.8868141331316,1406.6113318808175
151,1131.242239601807,1283.2132983838765,1406.6113318808175
152,1131.242239601807,1282.9883811065517,1406.6113318808175
153,1131.242239601807,1281.923069507003,1406.6113318808175
154,1131.242239601807,1279.5500634906614,1406.6113318808175
155,1131.242239601807,1277.92444562008,1406.6113318808175
156,1131.242239601807,1277.174683150067,1406.6113318808175
157,1131.242239601807,1275.0914770828135,1406.6113318808175
158,1131.242239601807,1273.322544092208,1406.6113318808175
159,1131.242239601807,1272.3825488551804,1406.6113318808175
160,1131.242239601807,1271.5629953280265,1406.6113318808175
161,1131.242239601807,1271.0309639128086,1406.6113318808175
162,1131.242239601807,1268.1516583059647,1406.6113318808175
163,1131.242239601807,1267.3612672723532,1406.6113318808175
164,1131.242239601807,1266.9806401545243,1406.6113318808175
165,1131.242239601807,1266.9806401545243,1406.6113318808175
166,1131.242239601807,1265.7686827097968,1406.6113318808175
167,1131.242239601807,1263.1886823969005,1406.6113318808175
168,1084.8160681762397,1260.0308930053113,1406.6113318808175
169,1084.8160681762397,1259.093967350863,1406.6113318808175
170,1084.8160681762397,1257.9394500760447,1406.6113318808175
171,1084.8160681762397,1257.1988739489598,1406.6113318808175
172,1084.8160681762397,1255.328115610155,1406.6113318808175
173,1084.8160681762397,1253.8576188777602,1406.6113318808175
174,1084.8160681762397,1252.0915956164606,1406.6113318808175
175,1084.8160681762397,1250.5753311341643,1406.6113318808175
176,1084.8160681762397,1246.9839461407764,1406.6113318808175
177,1084.8160681762397,1245.4691440597067,1406.6113318808175
178,1084.8160681762397,1244.5488660941585,1406.6113318808175
179,1084.8160681762397,1243.6081150337966,1406.6113318808175
180,1084.8160681762397,1243.6081150337966,1406.6113318808175
181,1084.8160681762397,1240.8602724570942,1406.6113318808175
182,1084.8160681762397,1240.8578575285335,1406.6113318808175
183,1084.8160681762397,1240.8578575285335,1406.6113318808175
184,1084.8160681762397,1238.1128497735338,1406.6113318808175
185,1084.8160681762397,1237.036341625072,1406.6113318808175
186,1084.8160681762397,1236.6607030922144,1406.6113318808175
187,1084.8160681762397,1236.5441125528473,1406.6113318808175
188,1084.8160681762397,1235.605628748271,1406.6113318808175
189,1084.8160681762397,1234.917520280634,1406.6113318808175
190,1084.8160681762397,1233.6925683478673,1406.6113318808175
191,1084.8160681762397,1232.8904374400247,1406.6113318808175
192,1084.8160681762397,1231.1865061327596,1406.6113318808175
193,1084.8160681762397,1230.7283846697899,1406.6113318808175
